2|12345678901|c05|2020|6.00|23
2|12345678902|c05|2021|7.00|12
2|12345678903|c05|2020|6.00|22
3|12345678905|c01|2008|9.00|11
3|12345678906|c01|2023|6.00|15
4|12345678901|c06|2026|7.00|10
4|12345678902|c06|2025|9.00|20
4|12345678903|c06|2023|8.00|25
4|12345678904|c06|2024|6.00|10
2|12345678907|c05|2024|7.00|10
5|12345678915|c05|2025|7.00|20
6|12345678912|c09|2000|3.00|6
7|12345678917|c01|2025|9.00|30
5|12345678911|c05|2026|7.00|20
5|12345678902|c05|2026|6.00|20
5|12345678904|c05|2026|4.00|10
6|12345678916|c09|2026|7.80|30
7|12345678918|c01|2026|9.60|20
1|12345678915|c10|2026|7.50|15
1|12345678917|c10|2026|8.50|13
1|12345678905|c10|2026|4.90|9
